storyId,sceneId,sceneType,groupName,icon,characterName,leftCharacter,rightCharacter,text,background,speech_bubble,nextSceneId,isChoice,choiceText1,choiceText2
groupchat,scene16,chat,,cony_icon,Cony,,Cecil,やったね！まじナイス！,chat_gurutama,,scene17,fales,,
groupchat,scene17,chat,,cecil_icon,Cecil,,Cecil,ふふ、楽しそう〜,chat_gurutama,,scene18,fales,,
groupchat,scene18,chat,,alec_icon,Alec,,Cecil,てかさ、今日のカールまた先生に話しかけまくってて笑ちゃった。,chat_gurutama,,scene19,fales,,
groupchat,scene19,chat,,alec_icon,Alec,,Cecil,先生も｜結構《けっこう》｜困《こま》ってそうだよね。<br>次の｜授業《じゅぎょう》始まるギリギリまで話しかけられてて,chat_gurutama,,scene20,fales,,
groupchat,scene20,chat,,cony_icon,Cony,,Cecil,ほんとそれな。<br>あれはさ〜、完全に“カールタイム”始まってたわ笑,chat_gurutama,,scene21,fales,,
groupchat,scene21,chat,,alec_icon,Alec,,Cecil,次の3｜限《げん》の理科とかもう、最初の時間カールのせいでなかなか始まらなかったよね。<br>みんなの｜迷惑《めいわく》でしょ,chat_gurutama,,scene22,fales,,
groupchat,scene22,chat,,cecil_icon,Cecil,,Cecil,……いつも｜丁寧《ていねい》に聞いてるな〜とは思ってたけど……,chat_gurutama,,scene23,fales,,
groupchat,scene23,chat,,cony_icon,Cony,,Cecil,いや、聞くのはいいけどさ、1人で｜独占《どくせん》するのはズルいって〜笑,chat_gurutama,,scene24,fales,,
groupchat,scene24,chat,,alec_icon,Alec,,Cecil,しかもさ、｜質問《しつもん》の内容が“電池のプラスってどっちが出てるんですか？”とか…<br>今じゃなくてよくない？笑,chat_gurutama,,scene25,fales,,
groupchat,scene25,chat,,cecil_icon,Cecil,,Cecil,……うん、たしかにタイミングってあるよね,chat_gurutama,,scene26,fales,,
groupchat,scene26,chat,,cony_icon,Cony,,Cecil,でも先生も｜独《どくせん》から、止めないんだよね〜笑,chat_gurutama,,scene27,fales,,
groupchat,scene27,chat,,alec_icon,Alec,,Cecil,むしろ“いい｜質問《しつもん》だねぇ”とか言って、倍くらい長くなるやつ。,chat_gurutama,,scene28,fales,,
groupchat,scene28,chat,,cecil_icon,Cecil,,Cecil,先生、話し始めると楽しそうだもんね……,chat_gurutama,,scene29,fales,,
groupchat,scene29,chat,,cony_icon,Cony,,Cecil,もう明日も｜絶対《ぜったい》カールタイムだよ。<br>なんなら毎日あるまである笑,chat_gurutama,,scene30,fales,,
groupchat,scene30,chat,,alec_icon,Alec,,Cecil,｜観測《かんそく》日記つけよっか。<br>“本日のカールタイム：2｜限《げん》目、8分間”みたいな,chat_gurutama,,scene31,fales,,
groupchat,scene31,chat,,cecil_icon,Cecil,,Cecil,……観察するのは面白いかもね、<br>記録係になろうかな笑,chat_gurutama,,scene32,fales,,
groupchat,scene32,talk,,,Alec,Alec,,ほら見て見て！<br>始まったよ、カールタイム～笑,classroom,speech_bubble_beige,scene33,fales,,
groupchat,scene33,talk,,,Cony,Cony,,うわほんとだ！毎日｜恒例《こうれい》じゃん…<br>先生とお話ターイム！,classroom,speech_bubble_beige,scene34,fales,,
groupchat,scene34,talk,,,Cecil,Cecil,,ん〜、また始まったね〜笑,classroom,speech_bubble_beige,scene35,fales,,
groupchat,scene35,talk,,,Curl,Curl,,あの…ここ、ちょっとわからなくて…,classroom,speech_bubble_beige,scene36,fales,,
groupchat,scene36,talk,,,Teacher,Teacher,,ああ、ここはね、図を見ながら考えるとわかりやすいよ！,classroom,speech_bubble_beige,scene37,fales,,
groupchat,scene37,talk,,,Alec,Alec,,あと5分は帰ってこないな、これは笑,classroom,speech_bubble_beige,scene38,fales,,
groupchat,scene38,talk,,,Cony,Cony,,てか、カールタイム記録しとく？<br>今日で3日連続なんだけど笑,classroom,speech_bubble_beige,scene39,fales,,
groupchat,scene39,talk,,,Cecil,Cecil,,……それ、もういいんじゃない？,classroom,speech_bubble_beige,scene40,fales,,
groupchat,scene40,talk,,,Cony,Cony,,え？聞こえなかった。何か言った？,classroom,speech_bubble_beige,scene41,fales,,
groupchat,scene41,talk,,,Cecil,Cecil,,ううん、なんでもない。<br>次の｜授業《じゅぎょう》の｜準備《じゅんび》しようかな〜,classroom,speech_bubble_beige,scene42,fales,,
groupchat,scene42,chat,,cecil_icon,Cecil,,Cecil,今日も学校｜疲《つか》れたね〜,chat_gurutama,,scene43,fales,,
groupchat,scene43,chat,,alec_icon,Alec,,Cecil,てかさ、前から思ってたんだけど、カールって友達いないよね,chat_gurutama,,scene44,fales,,
groupchat,scene44,chat,,cony_icon,Cony,,Cecil,それ思った！<br>だから先生といつもしゃべってるんだ,chat_gurutama,,scene45,fales,,
groupchat,scene45,chat,,alec_icon,Alec,,Cecil,そういうことか！ひとりぼっちだねー,chat_gurutama,,scene46,fales,,
groupchat,scene46,chat,,cony_icon,Cony,,Cecil,カールの周りって｜誰《だれ》も近｜寄《よ》らないよね,chat_gurutama,,scene47,fales,,
groupchat,scene47,chat,,alec_icon,Alec,,Cecil,それってカールゾーンじゃん！,chat_gurutama,,scene48,fales,,
groupchat,scene48,chat,,cony_icon,Cony,,Cecil,でた！<br>｜危険《きけん》エリア｜認定《にんてい》しよ！笑,chat_gurutama,,scene49,fales,,
groupchat,scene49,chat,,cecil_icon,Cecil,,Cecil,……ちょっと言い｜過《す》ぎじゃない？？笑,chat_gurutama,,scene50,fales,,
groupchat,scene50,chat,,cony_icon,Cony,,Cecil,どうしたのセシル笑ノリ悪！,chat_gurutama,,scene51,fales,,
groupchat,scene51,chat,,alec_icon,Alec,,Cecil,ほんとそれ！急に真面目モード？,chat_gurutama,,scene52,fales,,
groupchat,scene52,chat,,cony_icon,Cony,,Cecil,今まで一緒にカールのこと言ってたじゃん？<br>思ってもないこと私たちに合わせて言ってたの？,chat_gurutama,,scene53,fales,,
groupchat,scene53,chat,,cecil_icon,Cecil,,Cecil,｜確《たし》かに私も言ってたけど、言い｜過《す》ぎだったかなって思ってて,chat_gurutama,,scene54,ture,まさか！カールってやばいよね…,｜確《たし》かに私も言ってたけど、言い｜過《す》ぎだったかなって思ってて
groupchat,scene54,chat,,alec_icon,Alec,,Cecil,え〜？急にノリ悪いな〜,chat_gurutama,,scene55,fales,,
groupchat,scene55,chat,,cecil_icon,Cecil,,Cecil,悪口は言わない方がいいよ,chat_gurutama,,scene56,fales,,
groupchat,scene56,chat,,alec_icon,Alec,,Cecil,まあそれはそうだけどさ、カールも悪いじゃん？,chat_gurutama,,scene57,fales,,
groupchat,scene57,chat,,cony_icon,Cony,,Cecil,まあいっか！てか明日の体育なんだっけ？,chat_gurutama,,scene58,fales,,
groupchat,scene58,chat,,cecil_icon,Cecil,,Cecil,水泳だよ！,chat_gurutama,,scene59,fales,,
groupchat,scene59,chat,,cony_icon,Cony,,Cecil,そうだった！ありがと！,chat_gurutama,,scene60,fales,,
groupchat,scene60,talk,,,Brian,Brian,,カールこの前の図工の絵めっちゃ｜素敵《すてき》だったよ！,classroom,speech_bubble_beige,scene61,fales,,
groupchat,scene61,talk,,,Curl,Curl,,え？あ、ありがとう…,classroom,speech_bubble_beige,scene62,fales,,
groupchat,scene62,talk,,,Brian,Brian,,これお世辞じゃないからね笑まじすごかった！,classroom,speech_bubble_beige,scene63,fales,,
groupchat,scene63,talk,,,Curl,Curl,,めっちゃ嬉しい！,classroom,speech_bubble_beige,scene64,fales,,
groupchat,scene64,talk,,,Cecil,Cecil,,あの…私も会話に混ざってもいい？,classroom,speech_bubble_beige,scene65,fales,,
groupchat,scene65,talk,,,Brian,Brian,,もちろん！,classroom,speech_bubble_beige,scene66,fales,,
groupchat,scene66,talk,,,Curl,Curl,,ど、どうしたの、、？,classroom,speech_bubble_beige,scene67,fales,,
groupchat,scene67,talk,,,Cecil,Cecil,,……ごめんね今までひどいことして。ほんとに、ごめん,classroom,speech_bubble_beige,scene68,fales,,
groupchat,scene68,talk,,,Curl,Curl,,……全然気にしてないよ！話しかけてくれて、ありがとう,classroom,speech_bubble_beige,scene69,fales,,
groupchat,scene69,talk,,,Cecil,Cecil,,じゃあさ、今度絵の｜描《か》き方教えてよ！,classroom,speech_bubble_beige,scene70,fales,,
groupchat,scene70,talk,,,Curl,Curl,,｜僕《ぼく》でよければいつでも！,classroom,speech_bubble_beige,scene71,fales,,
groupchat,scene71,talk,,,Cecil,Cecil,,やった！約束だよ！,classroom,speech_bubble_beige,scene72,fales,,
groupchat,scene72,chat,,sandra_icon,Sandra,,Cecil,ねぇ、知ってる？アレックってさ、カールのこといじめてるらしいよ,chat_gurutama,,scene73,fales,,
groupchat,scene73,chat,,robbie_icon,Robbie,,Cecil,えまじで？どういうこと？,chat_gurutama,,scene74,fales,,
groupchat,scene74,chat,,sandra_icon,Sandra,,Cecil,みてみてこれだよ。友達からスクショが回ってきた。,chat_gurutama,,scene75,fales,,
groupchat,scene75,chat,,robbie_icon,Robbie,,Cecil,ほんとだ。ガチで言ってるじゃん…。,chat_gurutama,,scene76,fales,,
groupchat,scene76,chat,,sandra_icon,Sandra,,Cecil,悪ノリで言っていいレベルじゃないよね、これは。,chat_gurutama,,scene77,fales,,
groupchat,scene77,chat,,robbie_icon,Robbie,,Cecil,コニーこれ見て！アレックって最低だったんだな,chat_gurutama,,scene78,fales,,
groupchat,scene78,chat,,cecil_icon,Cecil,,Cecil,何この写真？誰からもらったの？,chat_gurutama,,scene79,fales,,
groupchat,scene79,chat,,robbie_icon,Robbie,,Cecil,サンドラからもらったよ！<br>このせいでカールがすごく｜辛《つら》い思いをしてるらしいよ,chat_gurutama,,scene80,fales,,
groupchat,scene80,chat,,cecil_icon,Cecil,,Cecil,サンドラは誰からもらったんだろう…？,chat_gurutama,,scene81,fales,,
groupchat,scene81,chat,,robbie_icon,Robbie,,Cecil,確かコニーからって言ってたような…,chat_gurutama,,scene82,fales,,
groupchat,scene82,chat,,cecil_icon,Cecil,,Cecil,そうなんだ,chat_gurutama,,scene83,fales,,
groupchat,scene83,chat,,cecil_icon,Cecil,,Cecil,（どうしよう…。みんな知ってるのかな）,chat_gurutama,,scene84,fales,,
groupchat,scene84,chat,,cecil_icon,Cecil,,Cecil,その写真いろんな人に回すのやめようよ,chat_gurutama,,scene85,ture,他の仲良しグループのグルチャで聞いてみようかな,その写真いろんな人に回すのやめようよ
groupchat,scene85,chat,,cecil_icon,Cecil,,Cecil,多分その写真私たちの仲良しグルチャのスクショだよ,chat_gurutama,,scene86,fales,,
groupchat,scene86,chat,,cecil_icon,Cecil,,Cecil,それに、これ切り取ってある写真なんだよね。,chat_gurutama,,scene87,fales,,
groupchat,scene87,chat,,cecil_icon,Cecil,,Cecil,こんなに大変なことになると思ってなかった。<br>こんなつもりでチャットしてたわけじゃないのに,chat_gurutama,,scene88,fales,,
groupchat,scene88,chat,,robbie_icon,Robbie,,Cecil,え！そうなの？<br>みんなアレックのことひどいやつだと思ってるよ,chat_gurutama,,scene89,fales,,
groupchat,scene89,chat,,cecil_icon,Cecil,,Cecil,なんとかしないと、もっとスクショが広がちゃう,chat_gurutama,,scene90,fales,,
groupchat,scene90,chat,,cecil_icon,Cecil,,Cecil,先生にちゃんと相談してみようかな,chat_gurutama,,scene91,ture,怒られたくないし、1人で解決しようかな,先生にちゃんと相談してみようかな
groupchat,scene91,chat,,robbie_icon,Robbie,,Cecil,うん、それがいいと思う！手伝えることがあったら言って！,chat_gurutama,,scene92,fales,,
groupchat,scene92,talk,,,Cecil,Cecil,,先生、実は相談があって…,classroom,speech_bubble_beige,scene93,fales,,
groupchat,scene93,talk,,,Cecil,Cecil,,今日はみんなに、ちゃんと伝えたいことがあって集まってもらったんだ,classroom,speech_bubble_beige,scene94,fales,,
groupchat,scene94,talk,,,Cecil,Cecil,,私たち、カールに｜謝《あやま》りたいんだ,classroom,speech_bubble_beige,scene95,fales,,
groupchat,scene95,talk,,,Alec,Alec,,ちょっとした｜冗談《じょうだん》のつもりだった。<br>でも、カールを｜傷《きず》つけたんだね,classroom,speech_bubble_beige,scene96,fales,,
groupchat,scene96,talk,,,Cony,Cony,,私もアレックのチャットだけを切り｜抜《ぬ》いてサンドラに見せた。,classroom,speech_bubble_beige,scene97,fales,,
groupchat,scene97,talk,,,Sandra,Sandra,,私も何も考えずにスクショをグルチャに送ったし、回しちゃった。,classroom,speech_bubble_beige,scene98,fales,,
groupchat,scene98,talk,,,Sandra,Sandra,,こんなに広まるなんて思ってなくて…。<br>本当にごめんなさい。,classroom,speech_bubble_beige,scene99,fales,,
groupchat,scene99,talk,,,Robbie,Robbie,,私も本当にごめんなさい。,classroom,speech_bubble_beige,scene100,fales,,
groupchat,scene100,talk,,,Cecil,Cecil,,グルチャってさ、｜簡単《かんたん》に悪口とか言えるけど、ずっと残るし、消えない,classroom,speech_bubble_beige,scene101,fales,,
groupchat,scene101,talk,,,Brian,Brian,,チャットって本当は、みんなで楽しむ場所のはずなのにね,classroom,speech_bubble_beige,scene102,fales,,
groupchat,scene102,talk,,,Curl,Curl,,｜謝《あやま》ってくれてありがとう。<br>｜僕《ぼく》もみんなと仲良くしたい,classroom,speech_bubble_beige,scene103,fales,,
groupchat,scene103,talk,,,Alec,Alec,,本当にごめんなさい。,classroom,speech_bubble_beige,scene104,fales,,
groupchat,scene104,talk,,,Teacher,Teacher,,｜傷《きず》つける言葉より、つながる言葉を使える人でいてください,classroom,speech_bubble_beige,scene105,fales,,
groupchat,scene105,talk,,,Cony,Cony,,今日のクイズ〜！この中で一番ハンバーグが好きなのは誰？,Park,speech_bubble_beige,scene106,fales,,
groupchat,scene106,talk,,,Alec,Alec,,カールだな（笑）,Park,speech_bubble_beige,scene107,fales,,
groupchat,scene107,talk,,,Cony,Cony,,正解！（笑）,Park,speech_bubble_beige,scene108,fales,,
groupchat,scene108,talk,,,Curl,Curl,,え〜！｜僕《ぼく》が一番！？……でも、｜確《たし》かに好き！（笑）,Park,speech_bubble_beige,scene109,fales,,
groupchat,scene109,talk,,,Cecil,Cecil,,やっと、カールが｜普通《ふつう》に笑ってくれるようになった気がする,Park,speech_bubble_beige,End,fales,,
