storyId,sceneId,sceneType,groupName,icon,characterName,leftCharacter,centerCharacter,rightCharacter,text,background,speech_bubble,nextSceneId,IsChoice,choiceText1,choiceText2,blackboard
netomo,scene66,talk,,curl_icon,Curl_anixiety,Mother_normal,Nick_normal,Curl_anixiety,え？,park,speech_bubble_beige,scene67,false ,,,
netomo,scene67,talk,,nick_face_icon,Nick_normal,Mother_normal,Nick_normal,Curl_anixiety,あれ？言ってなかったけ？<br>少しはお金もらいたいなって思ってて,park,speech_bubble_beige,scene68,false ,,,
netomo,scene68,talk,,curl_icon,Curl_anixiety,Mother_normal,Nick_normal,Curl_anixiety,でもチャットではあげるって言ってなかった？,park,speech_bubble_beige,scene69,false ,,,
netomo,scene69,talk,,nick_face_icon,Nick_normal,Mother_normal,Nick_normal,Curl_anixiety,無料であげるとは言ってないはずだよ,park,speech_bubble_beige,scene70,false ,,,
netomo,scene70,talk,,nick_face_icon,Nick_normal,Mother_normal,Nick_normal,Curl_anixiety,｜僕《ぼく》だって｜欲《ほ》しいって言ってた人他にいたけど、その人を｜断《こと》ってカールに｜渡《わた》しにきたんだよ,park,speech_bubble_beige,scene71,false ,,,
netomo,scene71,talk,,curl_icon,Curl_normal,Mother_normal,Nick_normal,Curl_anixiety,そうなんだ…。全部でいくらするの？,park,speech_bubble_beige,scene72,false ,,,
netomo,scene72,talk,,nick_face_icon,Nick_normal,Mother_normal,Nick_normal,Curl_anixiety,うーん、だいたい5000円くらいかな,park,speech_bubble_beige,scene73,false ,,,
netomo,scene73,talk,,nick_face_icon,Nick_normal,Mother_normal,Nick_normal,Curl_anixiety,本当は郵送するつもりだったから送料の分とかも入れて当然だよね？,park,speech_bubble_beige,scene74,false ,,,
netomo,scene74,talk,,nick_face_icon,Nick_normal,Mother_normal,Nick_normal,Curl_anixiety,ちゃんと払ってくれる？,park,speech_bubble_beige,scene75,false ,,,
netomo,scene75,talk,,curl_icon,Curl_tear,Mother_normal,Nick_normal,Curl_tear,えっとー、それは…,park,speech_bubble_beige,scene76,false ,,,
netomo,scene76,talk,,mother_icon,Mother_normal,Mother_normal,Nick_normal,Curl_tear,カール、まずは落ち着いて。<br>こういう時は、すぐに返事はしなくていいんだよ,park,speech_bubble_beige,scene77,false ,,,
netomo,scene77,talk,,mother_icon,Mother_normal,Mother_normal,Nick_normal,Curl_tear,お金のことが関わるなら、親としてきちんと｜確認《かくにん》が必要です。今日はグッズを持ち帰ってください。,park,speech_bubble_beige,scene78,false ,,,
netomo,scene78,talk,,mother_icon,Mother_normal,Mother_normal,Nick_normal,Curl_tear,私とカールで一度話し合います。,park,speech_bubble_beige,scene79,false ,,,
netomo,scene79,talk,,nick_face_icon,Nick_normal,Mother_normal,Nick_angry,Curl_tear,別にそこまでしなくても今買ってよ,park,speech_bubble_beige,scene80,false ,,,
netomo,scene80,talk,,nick_face_icon,Nick_angry,Mother_normal,Nick_angry,Curl_tear,｜欲《ほ》しいって言ってたのはカールだし、持ってきたのに。,park,speech_bubble_beige,scene81,false ,,,
netomo,scene81,talk,,mother_icon,Mother_normal,Mother_normal,Nick_angry,Curl_tear,お金のやり取りをするなら、きちんとした約束がないといけません。カールにとってもそれを学ぶいい機会です。,park,speech_bubble_beige,scene82,false ,,,
netomo,scene82,talk,,nick_face_icon,Nick_angry,Mother_normal,Nick_angry,Curl_tear,…………わかったよ。じゃあ今日は持ち帰るよ。,park,speech_bubble_beige,scene83,false ,,,
netomo,scene83,talk,,nick_face_icon,Nick_angry,Mother_normal,Nick_angry,Curl_tear,ただ｜僕《ぼく》だって｜簡単《かんたん》にここまで来たんじゃないよ。<br>時間もお金も使ってるし、もう少し考えてくれない？,park,speech_bubble_beige,scene84,false ,,,
netomo,scene84,talk,,mother_icon,Mother_normal,Mother_normal,Nick_angry,Curl_tear,もちろんです。私たちも家でよく話し合って必要ならこちらからご｜連絡《れんらく》します。,park,speech_bubble_beige,scene85,false ,,,
netomo,scene85,talk,,curl_icon,Curl_tear,Mother_normal,Nick_angry,Curl_tear,ニック、せっかく持ってきてくれたのにごめんね。ちゃんと分かってなかった,park,speech_bubble_beige,scene86,false ,,,
netomo,scene86,talk,,nick_face_icon,Nick_angry,Mother_normal,Nick_angry,Curl_tear,はあ、本当に時間の｜無駄《むだ》だったな。<br>また考えて｜連絡《れんらく》して,park,speech_bubble_beige,scene87,false ,,,
netomo,scene87,talk,,curl_icon,Curl_tear,Mother,,Curl_tear,今日は一緒に来てくれて本当にありがとう。<br>もしお母さんがいなかったらどうなってたか分からないよ。,my_room,speech_bubble_beige,scene88,false ,,,
netomo,scene88,talk,,mother_icon,Mother,Mother,,Curl_tear,大丈夫だよ。<br>あの場でしっかり｜対処《たいしょ》できて本当によかったね,my_room,speech_bubble_beige,scene89,false ,,,
netomo,scene89,talk,,curl_icon,Curl_anixiety,Mother,,Curl_anixiety,でも、ニックはお金のことは最初から言ってなかったよね,my_room,speech_bubble_beige,scene90,false ,,,
netomo,scene90,talk,,mother_icon,Mother,Mother,,Curl_anixiety,うん。<br>最初からちゃんとした意図を伝えなかった時点でおかしいと思うべきだった。,my_room,speech_bubble_beige,scene91,false ,,,
netomo,scene91,talk,,mother_icon,Mother,Mother,,Curl_anixiety,もしお金を払っていたらもっと｜深刻《しんこく》な問題になっていたかもしれないね。,my_room,speech_bubble_beige,scene92,false ,,,
netomo,scene92,talk,,curl_icon,Curl_normal,,,Curl_normal,ニックとはその後SNSでの｜連絡《れんらく》を続けていましたが、<br>何度も｜直接《ちょくせつ》会って話そうと言われるようになりました,my_room,speech_bubble_beige,scene93,false ,,,
netomo,scene93,talk,,curl_icon,Curl_normal,,,Curl_normal,以前のトラブルを思い出し、お母さんと相談した結果、最終的にニックのSNSをブロックすることを決めました。,my_room,speech_bubble_beige,scene94,false ,,,
netomo,scene94,talk,,curl_icon,Curl_normal,,,Curl_normal,ネトモと｜趣味《しゅみ》が同じだと、親しみを感じて必要以上に｜情報《じょうほう》を話してしまうことがあります。,my_room,speech_bubble_beige,scene95,false ,,,
netomo,scene95,talk,,curl_icon,Curl_normal,,,Curl_normal,お母さんにちゃんと相談できていたから、大きなトラブルに｜巻《ま》き｜込《こ》まれずにすみました。,my_room,speech_bubble_beige,scene96,false ,,,
netomo,scene96,talk,,curl_icon,Curl_normal,,,Curl_normal,だからこそ、これからもいっそうの注意を払うことを｜忘《わす》れないようにしようと思いました。,my_room,speech_bubble_beige,end,false ,,,
